iter	Passed	Remaining
0	3	901
1	6	808
2	9	846
3	12	833
4	15	813
5	18	794
6	21	792
7	24	780
8	27	780
9	30	775
10	33	774
11	36	768
12	39	765
13	44	780
14	47	787
15	70	1076
16	77	1116
17	84	1152
18	94	1211
19	101	1231
20	110	1270
21	131	1432
22	154	1601
23	162	1611
24	168	1594
25	174	1586
26	180	1566
27	186	1554
28	204	1643
29	212	1642
30	231	1726
31	256	1845
32	262	1820
33	268	1803
34	298	1939
35	304	1912
36	309	1885
37	342	2021
38	353	2020
39	360	2002
40	398	2146
41	404	2119
42	410	2092
43	445	2207
44	451	2178
45	460	2161
46	487	2229
47	493	2201
48	500	2174
49	529	2244
50	535	2214
51	543	2195
52	570	2248
53	578	2229
54	584	2199
55	622	2291
56	629	2264
57	638	2246
58	675	2323
59	679	2288
60	686	2262
61	714	2303
62	720	2274
63	725	2244
64	729	2211
65	747	2219
66	752	2191
67	758	2163
68	767	2147
69	773	2121
70	778	2094
71	785	2073
72	797	2064
73	803	2041
74	808	2016
75	817	2000
76	822	1976
77	833	1966
78	847	1964
79	852	1940
80	861	1925
81	883	1940
82	890	1920
83	912	1932
84	916	1908
85	922	1888
86	941	1893
87	950	1878
88	964	1874
89	968	1850
90	972	1826
91	983	1817
92	991	1801
93	997	1782
94	1001	1760
95	1007	1742
96	1014	1725
97	1021	1708
98	1031	1698
99	1036	1679
100	1045	1666
101	1050	1647
102	1056	1630
103	1065	1619
104	1071	1602
105	1076	1584
106	1091	1581
107	1097	1565
108	1105	1551
109	1119	1546
110	1136	1546
111	1141	1528
112	1146	1511
113	1156	1500
114	1163	1487
115	1171	1474
116	1177	1458
117	1187	1449
118	1193	1433
119	1197	1416
120	1210	1410
121	1218	1398
122	1224	1383
123	1235	1374
124	1242	1361
125	1247	1346
126	1261	1341
127	1269	1329
128	1275	1314
129	1279	1299
130	1287	1287
131	1293	1273
132	1298	1259
133	1302	1244
134	1316	1238
135	1324	1227
136	1330	1213
137	1337	1202
138	1345	1190
139	1357	1183
140	1365	1172
141	1372	1159
142	1377	1146
143	1385	1135
144	1391	1122
145	1397	1109
146	1404	1098
147	1411	1087
148	1415	1073
149	1420	1060
150	1432	1053
151	1441	1042
152	1449	1032
153	1454	1019
154	1458	1007
155	1465	995
156	1471	983
157	1475	970
158	1481	959
159	1497	954
160	1504	943
161	1511	932
162	1529	929
163	1535	917
164	1541	905
165	1552	897
166	1556	885
167	1563	874
168	1576	867
169	1582	856
170	1598	850
171	1604	839
172	1611	828
173	1640	829
174	1648	819
175	1658	810
176	1666	800
177	1684	794
178	1690	783
179	1696	772
180	1709	764
181	1714	753
182	1719	742
183	1735	735
184	1748	727
185	1763	720
186	1785	716
187	1792	705
188	1806	697
189	1821	690
190	1835	682
191	1840	671
192	1858	664
193	1863	653
194	1868	641
195	1878	632
196	1884	621
197	1892	611
198	1897	600
199	1903	590
200	1911	580
201	1927	572
202	1939	563
203	1955	555
204	1964	546
205	1976	537
206	1981	526
207	1988	516
208	2003	507
209	2008	497
210	2015	487
211	2020	476
212	2026	466
213	2033	456
214	2052	448
215	2060	438
216	2065	428
217	2071	418
218	2079	408
219	2084	398
220	2089	387
221	2095	377
222	2101	367
223	2107	357
224	2117	348
225	2123	338
226	2129	328
227	2147	320
228	2153	310
229	2158	300
230	2170	291
231	2176	281
232	2182	271
233	2191	262
234	2199	252
235	2212	243
236	2223	234
237	2235	225
238	2246	216
239	2255	206
240	2260	196
241	2273	187
242	2282	178
243	2289	168
244	2295	159
245	2301	149
246	2308	140
247	2315	130
248	2321	121
249	2328	111
250	2335	102
251	2347	93
252	2352	83
253	2359	74
254	2377	65
255	2385	55
256	2395	46
257	2401	37
258	2409	27
259	2420	18
260	2426	9
261	2444	0
